Machine Module,N9343C,CN06050179
+8.554130435e+06,-5.513501740e+01,
+8.586521739e+06,-5.471961594e+01,
+8.618913043e+06,-5.522953415e+01,
+8.651304348e+06,-5.717396927e+01,
+8.683695652e+06,-5.389608765e+01,
+8.716086957e+06,-4.819151306e+01,
+8.748478261e+06,-5.485472870e+01,
+8.780869565e+06,-5.736796951e+01,
+8.813260870e+06,-5.391270828e+01,
+8.845652174e+06,-5.218783951e+01,
+8.878043478e+06,-5.283469391e+01,
+8.910434783e+06,-5.311530685e+01,
+8.942826087e+06,-5.415704727e+01,
+8.975217391e+06,-5.550441742e+01,
+9.007608696e+06,-3.390948868e+01,
+9.040000000e+06,-5.374389267e+01,
+9.072391304e+06,-5.420350647e+01,
+9.104782609e+06,-5.534964752e+01,
+9.137173913e+06,-5.708909988e+01,
+9.169565217e+06,-5.446150589e+01,
+9.201956522e+06,-5.675799179e+01,
+9.234347826e+06,-5.170469284e+01,
+9.266739130e+06,-5.310995865e+01,
+9.299130435e+06,-4.928062439e+01,
+9.331521739e+06,-5.661169815e+01,
+9.363913043e+06,-5.526642609e+01,
+9.396304348e+06,-5.281519318e+01,
+9.428695652e+06,-5.603154373e+01,
+9.461086957e+06,-5.235807419e+01,
+9.493478261e+06,-5.594297409e+01,
+9.525869565e+06,-5.432389069e+01,
+9.558260870e+06,-5.264121246e+01,
+9.590652174e+06,-5.467428970e+01,
+9.623043478e+06,-5.442197037e+01,
+9.655434783e+06,-5.525757217e+01,
+9.687826087e+06,-5.239702225e+01,
+9.720217391e+06,-3.849189758e+01,
+9.752608696e+06,-5.533713531e+01,
+9.785000000e+06,-5.695657730e+01,
+9.817391304e+06,-5.455114746e+01,
+9.849782609e+06,-5.479673386e+01,
+9.882173913e+06,-5.532723236e+01,
+9.914565217e+06,-5.697819901e+01,
+9.946956522e+06,-5.556293869e+01,
+9.979347826e+06,-5.484146118e+01,
+1.001173913e+07,-4.436787033e+01,
+1.004413043e+07,-5.408197784e+01,
+1.007652174e+07,-5.536648560e+01,
+1.010891304e+07,-5.500521851e+01,
+1.014130435e+07,-5.450623703e+01,
+1.017369565e+07,-5.598481369e+01,
+1.020608696e+07,-5.713547134e+01,
+1.023847826e+07,-5.760721970e+01,
+1.027086957e+07,-5.500435257e+01,
+1.030326087e+07,-4.809389877e+01,
+1.033565217e+07,-5.696019363e+01,
+1.036804348e+07,-5.352127075e+01,
+1.040043478e+07,-5.593099976e+01,
+1.043282609e+07,-5.603972244e+01,
+1.046521739e+07,-5.594710922e+01,
+1.049760870e+07,-5.671105576e+01,
+1.053000000e+07,-5.463895416e+01,
+1.056239130e+07,-5.698680115e+01,
+1.059478261e+07,-5.635746384e+01,
+1.062717391e+07,-5.651162720e+01,
+1.065956522e+07,-4.230182648e+01,
+1.069195652e+07,-5.520687485e+01,
+1.072434783e+07,-5.345865631e+01,
+1.075673913e+07,-5.718748474e+01,
+1.078913043e+07,-5.799150085e+01,
+1.082152174e+07,-5.452047348e+01,
+1.085391304e+07,-5.708250427e+01,
+1.088630435e+07,-5.746720886e+01,
+1.091869565e+07,-5.601327896e+01,
+1.095108696e+07,-5.532045746e+01,
+1.098347826e+07,-5.256982422e+01,
+1.101586957e+07,-4.518790436e+01,
+1.104826087e+07,-5.506634903e+01,
+1.108065217e+07,-5.443596268e+01,
+1.111304348e+07,-5.476999664e+01,
+1.114543478e+07,-5.452210617e+01,
+1.117782609e+07,-5.557905960e+01,
+1.121021739e+07,-5.781871414e+01,
+1.124260870e+07,-5.454782867e+01,
+1.127500000e+07,-5.420207214e+01,
+1.130739130e+07,-5.440296936e+01,
+1.133978261e+07,-4.464740372e+01,
+1.137217391e+07,-5.319813538e+01,
+1.140456522e+07,-5.334681702e+01,
+1.143695652e+07,-5.703781509e+01,
+1.146934783e+07,-5.561116028e+01,
+1.150173913e+07,-5.697255707e+01,
+1.153413043e+07,-5.704086685e+01,
+1.156652174e+07,-5.322852707e+01,
+1.159891304e+07,-5.289029694e+01,
+1.163130435e+07,-5.487591553e+01,
+1.166369565e+07,-5.551852798e+01,
+1.169608696e+07,-5.670727158e+01,
+1.172847826e+07,-5.953049469e+01,
+1.176086957e+07,-5.266173172e+01,
+1.179326087e+07,-5.539785767e+01,
+1.182565217e+07,-5.576199341e+01,
+1.185804348e+07,-5.375314331e+01,
+1.189043478e+07,-5.244709778e+01,
+1.192282609e+07,-5.439584732e+01,
+1.195521739e+07,-5.410238647e+01,
+1.198760870e+07,-4.560085678e+01,
+1.202000000e+07,-3.505746841e+01,
+1.205239130e+07,-5.323370743e+01,
+1.208478261e+07,-5.497727966e+01,
+1.211717391e+07,-5.558474350e+01,
+1.214956522e+07,-5.310248947e+01,
+1.218195652e+07,-5.657351303e+01,
+1.221434783e+07,-5.470140076e+01,
+1.224673913e+07,-5.574967957e+01,
+1.227913043e+07,-5.548946762e+01,
+1.231152174e+07,-5.388403702e+01,
+1.234391304e+07,-3.634724045e+01,
+1.237630435e+07,-5.526407242e+01,
+1.240869565e+07,-5.326943588e+01,
+1.244108696e+07,-5.478891373e+01,
+1.247347826e+07,-5.418608856e+01,
+1.250586957e+07,-5.504027557e+01,
+1.253826087e+07,-5.802641296e+01,
+1.257065217e+07,-5.468143845e+01,
+1.260304348e+07,-5.670966721e+01,
+1.263543478e+07,-5.679169083e+01,
+1.266782609e+07,-5.503216934e+01,
+1.270021739e+07,-5.595460892e+01,
+1.273260870e+07,-5.698061371e+01,
+1.276500000e+07,-5.558652496e+01,
+1.279739130e+07,-5.568764877e+01,
+1.282978261e+07,-5.742988205e+01,
+1.286217391e+07,-5.335275650e+01,
+1.289456522e+07,-5.606522751e+01,
+1.292695652e+07,-5.504748535e+01,
+1.295934783e+07,-5.591926575e+01,
+1.299173913e+07,-3.016839218e+01,
+1.302413043e+07,-5.174569321e+01,
+1.305652174e+07,-5.575196075e+01,
+1.308891304e+07,-5.387361145e+01,
+1.312130435e+07,-5.640544891e+01,
+1.315369565e+07,-5.625669861e+01,
+1.318608696e+07,-5.454026031e+01,
+1.321847826e+07,-5.432099915e+01,
+1.325086957e+07,-5.439967346e+01,
+1.328326087e+07,-5.687043762e+01,
+1.331565217e+07,-5.644835663e+01,
+1.334804348e+07,-3.978017426e+01,
+1.338043478e+07,-5.641644287e+01,
+1.341282609e+07,-5.570346832e+01,
+1.344521739e+07,-5.712051392e+01,
+1.347760870e+07,-5.735920715e+01,
+1.351000000e+07,-5.413988495e+01,
+1.354239130e+07,-5.872766113e+01,
+1.357478261e+07,-5.752478790e+01,
+1.360717391e+07,-5.685664368e+01,
+1.363956522e+07,-5.189712524e+01,
+1.367195652e+07,-5.481835175e+01,
+1.370434783e+07,-5.565206909e+01,
+1.373673913e+07,-5.381576920e+01,
+1.376913043e+07,-5.846469879e+01,
+1.380152174e+07,-5.871105957e+01,
+1.383391304e+07,-5.574001694e+01,
+1.386630435e+07,-5.511149216e+01,
+1.389869565e+07,-5.558766556e+01,
+1.393108696e+07,-5.678669739e+01,
+1.396347826e+07,-5.338174820e+01,
+1.399586957e+07,-3.586912537e+01,
+1.402826087e+07,-5.499609375e+01,
+1.406065217e+07,-5.370127869e+01,
+1.409304348e+07,-5.350287247e+01,
+1.412543478e+07,-5.416175079e+01,
+1.415782609e+07,-5.481405258e+01,
+1.419021739e+07,-5.705544662e+01,
+1.422260870e+07,-5.696600723e+01,
+1.425500000e+07,-5.956954193e+01,
+1.428739130e+07,-5.660117340e+01,
+1.431978261e+07,-5.723033142e+01,
+1.435217391e+07,-5.731066895e+01,
+1.438456522e+07,-4.710477448e+01,
+1.441695652e+07,-5.656374359e+01,
+1.444934783e+07,-5.540733337e+01,
+1.448173913e+07,-5.785435104e+01,
+1.451413043e+07,-5.635698318e+01,
+1.454652174e+07,-5.566868210e+01,
+1.457891304e+07,-5.440513611e+01,
+1.461130435e+07,-4.518351746e+01,
+1.464369565e+07,-5.435445786e+01,
+1.467608696e+07,-5.644021988e+01,
+1.470847826e+07,-5.670475006e+01,
+1.474086957e+07,-5.604594421e+01,
+1.477326087e+07,-5.656090927e+01,
+1.480565217e+07,-5.416570282e+01,
+1.483804348e+07,-5.633745193e+01,
+1.487043478e+07,-5.454475021e+01,
+1.490282609e+07,-5.487832260e+01,
+1.493521739e+07,-5.511155319e+01,
+1.496760870e+07,-5.540295029e+01,
+1.500000000e+07,-2.745612144e+01,
