Machine Module,N9343C,CN06050179
+6.772608696e+06,-5.981285095e+01,
+6.805000000e+06,-5.978973389e+01,
+6.837391304e+06,-5.784100342e+01,
+6.869782609e+06,-5.711031342e+01,
+6.902173913e+06,-5.801808167e+01,
+6.934565217e+06,-5.636153412e+01,
+6.966956522e+06,-5.571192551e+01,
+6.999347826e+06,-2.836857033e+01,
+7.031739130e+06,-5.135415649e+01,
+7.064130435e+06,-5.992720032e+01,
+7.096521739e+06,-6.028792953e+01,
+7.128913043e+06,-5.419794083e+01,
+7.161304348e+06,-5.738494873e+01,
+7.193695652e+06,-6.113620758e+01,
+7.226086957e+06,-6.126707458e+01,
+7.258478261e+06,-6.057021332e+01,
+7.290869565e+06,-6.061178589e+01,
+7.323260870e+06,-6.016587830e+01,
+7.355652174e+06,-6.203194809e+01,
+7.388043478e+06,-6.169623947e+01,
+7.420434783e+06,-5.267720795e+01,
+7.452826087e+06,-5.976033401e+01,
+7.485217391e+06,-6.170348740e+01,
+7.517608696e+06,-6.177694321e+01,
+7.550000000e+06,-6.113144302e+01,
+7.582391304e+06,-6.171434402e+01,
+7.614782609e+06,-6.141200638e+01,
+7.647173913e+06,-6.134352493e+01,
+7.679565217e+06,-6.189666367e+01,
+7.711956522e+06,-6.094592667e+01,
+7.744347826e+06,-5.881295776e+01,
+7.776739130e+06,-6.100833893e+01,
+7.809130435e+06,-6.088601685e+01,
+7.841521739e+06,-5.243256378e+01,
+7.873913043e+06,-5.287255859e+01,
+7.906304348e+06,-6.067649841e+01,
+7.938695652e+06,-5.896537399e+01,
+7.971086957e+06,-5.164803314e+01,
+8.003478261e+06,-2.375784874e+01,
+8.035869565e+06,-5.918333435e+01,
+8.068260870e+06,-6.047410583e+01,
+8.100652174e+06,-6.100030518e+01,
+8.133043478e+06,-6.134917450e+01,
+8.165434783e+06,-6.070929718e+01,
+8.197826087e+06,-6.327375793e+01,
+8.230217391e+06,-6.166702271e+01,
+8.262608696e+06,-6.075930023e+01,
+8.295000000e+06,-6.235712433e+01,
+8.327391304e+06,-6.135602570e+01,
+8.359782609e+06,-6.283773804e+01,
+8.392173913e+06,-6.134633636e+01,
+8.424565217e+06,-6.189205170e+01,
+8.456956522e+06,-6.251059341e+01,
+8.489347826e+06,-5.187923813e+01,
+8.521739130e+06,-6.273677826e+01,
+8.554130435e+06,-6.186525726e+01,
+8.586521739e+06,-6.146361923e+01,
+8.618913043e+06,-6.275534439e+01,
+8.651304348e+06,-6.338816071e+01,
+8.683695652e+06,-6.299865723e+01,
+8.716086957e+06,-6.354504776e+01,
+8.748478261e+06,-6.259860611e+01,
+8.780869565e+06,-6.244844818e+01,
+8.813260870e+06,-6.064910126e+01,
+8.845652174e+06,-6.171799088e+01,
+8.878043478e+06,-6.066252518e+01,
+8.910434783e+06,-5.841149139e+01,
+8.942826087e+06,-6.088440704e+01,
